Sample,ME8,ME57,ME25,ME45,ME56,ME14,ME47,ME51,ME53,ME41,ME4,ME59,ME50,ME55,ME36,ME39,ME11,ME13,ME20,ME60,ME37,ME52,ME3,ME34,ME35,ME63,ME66,ME2,ME15,ME10,ME58,ME46,ME17,ME22,ME29,ME1,ME23,ME27,ME12,ME26,ME62,ME33,ME65,ME44,ME40,ME61,ME24,ME32,ME48,ME49,ME5,ME42,ME64,ME28,ME21,ME31,ME19,ME38,ME30,ME43,ME54,ME67,ME7,ME6,ME16,ME9,ME18,ME0,Treatment
SH26.1095.Vehicle,-0.15705765243945324,0.1788406831730398,0.19799411942759862,0.09361749410397274,-0.24724359632783477,-0.36379628951410314,-0.2444004881826887,0.21306632964232403,-0.06364773046950103,0.3658739706079811,-0.13831702784053002,0.21520975011125912,-0.2790478239092592,-0.19912155482824778,0.3899542595663316,0.35713669471417886,0.3297042708175497,0.5777690795701534,0.6314095896630564,0.23397882631643807,-0.29872165337733253,-0.29415727999603913,-0.24535617723817432,-0.20464678955136864,-0.42657054281151047,-0.5749278031929319,-0.713977880169352,-0.6184471080691378,-0.7449697950410042,-0.3401581456316502,-0.7117425501118781,0.8127192084106121,0.3840914274048224,0.43479440211030923,0.6111050160251695,0.5111805914770137,0.47552568569116105,0.4825548707116299,0.5486746497774544,0.3498626033471938,0.3170344286175474,0.4622376044372168,0.05431218496257334,0.32034391311715865,0.010667799021807013,0.08307534713898496,0.002772888590813061,0.40750944143108087,-0.042945747764635125,-0.6371003842631886,-0.07377717122178694,-0.3935532517585689,-0.3109467210837623,-0.2989380908695783,-0.20503284519246326,-0.1835459038182706,0.08125822454313845,-0.04753534050036897,0.2436986097313591,-0.02472034002981927,-0.4007836761712902,-0.604263350654957,-0.5097550089885614,-0.5710111223245642,-0.09350691701428258,-0.38720489604107783,-0.31963601491868976,0.36350715917714077,Vehicle
SH26.1125.TDM1,0.37642378568026597,0.33236175871201956,0.33894318146438823,0.4464022658599802,0.21128718476394354,0.3786855457998386,0.09909725484985894,-0.2561783012239573,-0.3295355649936904,-0.10878086197161382,-0.018071178955706244,-0.2722762738736783,0.2633852109315186,0.09023520672568472,-0.12192063069683774,0.2484865207953959,0.053293673169822246,-0.09183583485412086,-0.10914437410061474,0.09668907285311501,0.029650132604477013,0.2293078842528305,0.011675363472814863,-0.2262792351230885,-0.2373363842978639,-0.36260429532331684,-0.17666741792429966,-0.0859827303180428,0.016878550571005787,0.016329053164361958,-0.051411513382442264,-0.29188550768643934,0.5108054647454863,0.29137560333356755,0.08839508069302376,-0.11017228039847547,-0.42786936957674915,-0.12399536349141448,-0.30542677241892574,-0.02697150296224859,-0.1543932347093415,0.25392135376489894,-0.6196425474477907,-0.21951174478431607,-0.33097971106751006,-0.24577752622330512,-0.4608496962820403,-0.3324152569428333,-0.18591444740973898,-0.23117807004131688,-0.08352564764611137,-0.14017522852168032,0.45691865767537976,0.4671007754228226,0.7165487964498852,0.5765365922507028,0.15045953000842688,0.22242822681616706,0.32649093519460104,0.3374315361280152,-0.1234816487301079,0.28692573114264036,0.40749024141968293,0.2779908219808383,0.24900629054334913,-0.21918410214268402,0.12298734979286136,0.3706259610802582,TDM1
SH26.1127.TDM1,-0.21972434256175152,-0.28744262338723553,0.04539728913299061,0.08147704855597215,-0.022763232037199065,-0.046281096161130957,-0.16604086953568578,0.42599826211753933,0.12822683789857717,0.094307961821044,-0.07858541954166938,-0.07450720174921824,-0.29323652530135397,-0.039054462915642775,0.3928806477790113,0.21155632970783064,-0.20580856790310462,0.12296961323289514,-0.04508618552837927,-0.16615060683297744,0.380622729496251,0.07735496056757953,0.060361918879413314,-0.025596461197495948,-0.5728544695882133,-0.040128768404862264,-0.07935184272677304,-0.10549144024513626,-0.17911631567760705,-0.05502530949339505,-0.14150866496089187,-0.08618244800914543,0.2286114837513408,0.09739019760722539,0.3212709758956343,-0.0016601779880221217,0.2717473770405642,0.4061586731381803,0.41394758695460315,0.18558278026488254,0.3650432359815624,0.1752750113216102,0.25626933988185907,0.01965115263092343,0.3509639462408737,0.39256153206963257,-0.1658565200813741,0.005960378408171752,0.2587482751053563,-0.01930952586070592,0.16776028681121277,-0.013527046293473203,0.28890033404809684,-0.05945694256846173,0.06185721621757834,-0.04059249950665277,0.24349052218214617,0.4303834111698899,0.2661815351350904,0.27426487152567364,-0.39347829096164527,-0.24210621166112686,-0.16748520935421396,0.040901228494612515,0.25248955995814454,0.06547391714865412,-0.08876850370356318,0.35539312853456423,TDM1
SH26.1182.Combo,0.014220372341366968,-0.10597842267846078,-0.06560340368834201,-0.0040420383229649815,0.006797312579324124,0.07404786713207889,-0.1133226638391779,-0.11633672725788569,-0.10461669966627217,-0.10395689110806178,-0.004933993626944704,-0.10240806541149691,-0.04594171370996265,-0.06568412197968085,-0.12050865046159186,-0.0938327499487865,-0.19996971364571364,-0.23504020976562415,-0.2306509024007645,-0.17075150095007446,0.07258417333065349,0.051844096093151174,0.13638601453668686,0.026418269515332226,0.01581969188110668,0.08637568955094724,-0.0766738785019895,0.10323238637258034,0.06461592322047609,-0.054394401051642685,0.06855642404797026,-0.15937747292077892,-0.061985422593281936,-0.16847206081778415,-0.14872791882469724,-0.17219120773654487,-0.08481479635628165,-0.10219675098334147,-0.14671415496931758,-0.09455256676909897,-0.15662745715474424,0.0755688003128347,0.09402599388211105,0.16269036113187546,0.1337732601853706,0.08222918723857557,-6.461106122828855e-4,-0.03364442592430178,0.10652310816959168,0.07114231753425626,0.09010660743032005,0.09355511873108664,0.24492477087996042,0.13859825703299994,0.13281437642903182,0.12162854628984147,0.15421650288816494,0.16921398198417176,0.03818279988533622,0.16187693810720655,0.261218544730748,0.12673286531727626,0.23683422281014072,0.21015975802550843,0.19660458129545327,0.1865002126744319,0.21845356763692697,-0.010921608534879463,Combo
SH26.1196.TDM1,0.14632086964435695,0.1460930362532679,-0.07221131465581013,-0.13182932031823474,0.1032018071383163,-0.018829309454767542,-0.00635418191476911,-0.1277006799537239,-0.23091797468744915,-0.037771636766733695,-0.04803096176372844,-0.20038227092125774,0.016077259697127786,0.008925428536455974,-0.05858268692825728,0.07323858655220086,-0.14502566606255943,-0.1772810384338345,-0.2269061814475112,-0.18656570872352032,0.18564415224792646,0.15896220116299592,0.06931082669565007,0.08208644319012395,-0.22762369261166135,-0.13321150040267365,0.20129803243152483,0.03565987711922972,0.030519511564145972,0.0471615073462056,0.02903169866690266,-0.24897250331789006,0.27463794009931414,0.07271326434889275,0.056067836633523126,-0.1218820645788229,-0.22231226865482737,0.016647401301653878,-0.11492521295765082,-0.11881867296699525,-0.10203466765942645,0.16336313771901037,-0.19546188939214018,-0.05208502268929072,-0.08735341016451521,-0.02022486885561594,-0.23405146716697456,-0.16193796053029083,0.09590635614590123,-0.09449317508928375,0.03908574406149154,0.034078171272246646,0.2861237395748,0.4361221691322326,0.4461736387059091,0.43366759029614294,0.16578134080289803,0.30646734425700095,0.3882312996965993,0.2782359760037189,-0.10669442455479593,0.29926584536852174,0.27427054716309274,0.27737972495988894,0.3049524335111538,0.041304536366755996,0.1844787254032174,0.17691441192212481,TDM1
SH26.1226.Combo,-0.019607386816143373,-0.04272260581193681,-0.07333272319853236,-0.15279898760065494,-0.09755477433402655,-0.07976519215168185,-0.1751930926440447,-0.19295780968428344,-0.1288205047031765,0.016160112258065178,-0.07188917531362173,-0.03334636233237451,0.0026582079984939573,-0.19731503018532684,-0.2785620149049088,-0.24282241875238364,-0.06923901631644123,-0.1798161135037925,-0.03855581938538218,0.03576517971861831,-0.15947888687320788,-0.16022616028058667,0.05878048977231049,0.037000733609303844,0.1763783973049885,-0.07947277260747534,-0.06514041800876832,0.05121337222917744,-0.009543872470375725,-0.12123321165099359,0.012274058262740292,0.09679817941487265,-0.19991050855491355,-0.13943792558863277,-0.26248059575149113,-0.022469404543637602,0.0033967947880469093,-0.15230538526883766,-0.15124448466628468,-0.2062579819221427,-0.21297240283254495,0.00784313258938335,0.17594055232971484,0.15369395191202137,0.022578033917084073,-0.03846195900586487,0.20848168231288455,0.14749066509602177,0.03156541943838691,0.21843289701348037,0.12831813297818975,0.09850061124452617,-0.08981366968273531,0.05069560140717359,-0.07493621820471154,0.03241354501211129,0.13307547456664565,-0.02777248347406806,-0.11663728312870938,-0.07330768743281715,0.44431597962523967,0.01664511952490339,0.1917737916697369,0.06233671146431108,0.031787408469610354,0.17045967317746663,0.20804438053287036,-0.19156439374516115,Combo
SH26.1239.Combo,-0.32026869297369315,-0.4765835049578276,-0.10450643185596764,-0.12322199057347709,0.027871055771722917,-0.10449572524879513,-0.06606395945932544,0.07863064616499582,0.10294930016817705,0.050790458334186155,-0.003627811773500171,-0.01386183299054763,-0.06757129915875423,-0.02991456433613133,-0.14204852905498308,-0.13074790961449623,-0.1221478650230311,-0.12064938204457994,-0.10726397376435562,-0.10636080689988109,0.050888925514854105,-0.09094627258822219,0.08090887071362655,0.07155366164732457,-0.023784099987795192,0.09245862128277474,0.2723260928022449,0.1272311924516882,0.05285049083711321,0.006123187256897276,0.022088335011921065,-0.1431368843252886,-0.14989120109059847,-0.115625359997168,-0.21304949051211725,-0.06889273238595868,-0.06987366413336447,-0.10396644178671573,-0.030552588299427415,-6.491111323062849e-4,-0.019716140529435513,-0.010510986490460181,0.06792462312135132,-0.0023533076605098575,0.20594023624364305,-0.031145458712550346,0.056642475209128754,-0.04610809791424764,-0.018805442453898112,0.10859535817843502,0.07669227343886142,0.04940642181740776,0.10035636957194963,0.033396622521367984,-0.06308471610511378,0.11080940039686778,0.05058511526468101,-0.024275866077796547,-0.07633017467201969,0.07330043705049163,0.10926031322077065,0.06291027604167111,0.10904064275076886,0.11806020734885454,0.06657548027772713,0.17212487337894852,0.05866791509788776,-0.03481342830870088,Combo
SH26.1259.Resist,0.5543530186047204,0.558645420452528,0.4396580476327188,0.5452356371497269,0.6243895811829772,0.7497961975482286,0.7212640491905052,0.01999220231975564,-0.085664951011081375,0.1592852032711992,0.10630611671608015,0.234429725472783,0.006085708267542889,0.17008735360690005,-0.23205731136264815,-0.17606876114426323,-0.08477529246649843,-0.2031966014474252,-0.08675117752381616,-0.09453299902879263,-0.29696506456442084,-0.0856143044705139,0.07941908404079934,0.4727927796817994,0.32538472093483234,0.1590267223061034,0.2263059106697782,0.19276547235238564,0.08228537585967634,0.5336076330250497,0.41183639810893485,0.07617985985578095,-0.07964787390530899,-0.33945084525962993,-0.25992544009143426,-0.19427115965480848,-0.2751421770801263,-0.38791204943867574,-0.2782298443970461,0.1236109228664884,0.3436329665147658,-0.08355333638967823,-0.11977214102050782,0.18563212549313776,-0.16233600748768703,-0.039438818113778994,-0.05112120804041843,2.847736255755955e-4,-0.4684374942792425,-0.184742487307062,-0.16211629588126225,-0.030604933300436555,0.20682306341490883,-0.11491224280019546,-0.005975729524214717,-0.05720359093390552,-0.07511437760173018,-0.23213923664525069,-0.373477447505049,-0.1842738851960196,0.022264604339129114,-0.16276043431916623,0.21153181771692534,-0.04357334318901572,-0.15495092504493893,-0.035736072187926265,-0.22202777432505125,-0.25785452419013605,Resistance
SH26.1261.TAK,-0.10752397626507175,-0.10097626382127617,-0.2733945806383432,-0.43516533711518285,-0.08629879225244085,-0.19834893895947345,-0.25456931614832234,-0.3745301117992203,-0.2375806170615207,-0.029371739055688382,-0.15131985847999663,-0.13167807185915414,-0.027582903650476522,-0.37148764011038943,-0.3518001245692034,-0.3049608325050404,-0.11016661660965425,-0.19637051689613885,-0.0699096675692893,-0.03159009902286464,-0.16966963759740336,-0.14893138957301041,0.05627456854231129,-0.035502728969496494,0.15883368019456479,-0.08497495774919593,0.12764686743501577,0.0658333338571998,-0.014583258136044715,-0.22134472247961254,-0.13030986603389294,0.11513524481939295,-0.40197660170779814,-0.060950258463596696,-0.2939263294454106,0.0271431087641888,0.06448275580553946,-0.11887919565533081,-0.25349311552356607,-0.32227400972417364,-0.3359454631831965,-0.05611053531607546,0.21594656555541203,0.12847178842545215,0.015395456413187068,-0.10373546756960453,0.3668105533782248,0.1736222610644435,0.09665154326446004,0.280119072308419,0.19143875812383654,0.19105334949820577,-0.2494955111973066,0.10693118663737128,-0.2120594487874026,0.0033551269526914487,0.16585216397364794,-0.11082309428449565,-0.058274343452935334,-0.032557325382887366,0.4437687472544223,0.2095687334853931,0.1783960923647951,0.09290153701012173,0.028857894734735556,0.2438335971738465,0.3146465072482361,-0.16339409908474437,TAK
SH26.1270.TAK,0.22071044191304756,0.22134342271948151,-0.07677583860761726,-0.042383663511585457,-0.03579438365507455,-0.07827285812486962,-0.15750017802764948,0.02316981708616561,-0.1350633611598644,0.06241519532616168,-0.06279041671793263,0.16212658272885527,-0.2815679772881951,-0.18725829637842079,-0.08655274366813863,-0.23045724537731063,-0.21489403865022105,-0.17355197295324018,-0.05668691688689244,-0.1702262714012971,0.0167451920714516,-0.26775841124930283,0.08344172597570589,0.1469421873921958,0.08927649148350336,0.47683421942752613,-0.10175248665243332,0.042817843017480865,-0.055652540573804296,-0.05963175086351379,0.1408568768666172,0.21777870306893043,-0.14922687319742073,-0.32552844871101816,-0.13754813421951226,-0.020637269337231288,0.20258958870954932,-0.03028105695452496,0.0020429551732462996,0.031911956928617424,0.12099713699335114,-0.047701286767809256,0.3434655254287791,0.2632418976830014,0.19351667868339378,0.2703000562353767,0.19196033661851553,0.2733993011782,0.06472842897520492,0.22242565304985187,0.16022537817509444,0.0725132615293148,-0.044620015650695184,-0.181152974303073,-0.06197322095454878,-0.11434264259837623,0.01326164570587861,0.10003454346501536,-0.2595464627380789,-0.07110512895998353,-0.05746397285640589,-0.17598565897502266,-0.0330230669151234,-0.018139618250459483,0.015984432863679506,0.2139868711348882,0.07593447294948513,-0.23446017203924013,TAK
SH26.1274.TAK,-0.07535515894077852,-0.22235618948420757,-0.07863987274688085,-0.0063760579357843164,0.08983244287496996,0.09078472542015022,0.2202852981454012,0.229010640115567,0.2345405747562763,0.0940188435896609,0.17249229081225556,0.2041272970969499,0.009244274438784781,0.14481106587228335,-0.018429265428955028,-0.11179344113141892,-0.01825584866374845,-0.05081715473753488,0.028235542240208193,0.09735810416191035,-0.005175354798910239,0.008598280533017444,0.12584628727846311,0.39512344490695395,0.2718681984450022,0.3423186904083718,0.4468011958318842,0.26666006069485204,0.15549332163762422,0.30456971829302304,0.28089238591814736,-0.023099444197108802,-0.3402056110566004,-0.288962830145672,-0.29607611556025515,-0.15079809188991583,-0.08939927619473924,-0.23586555210587914,0.03126875658598864,0.10336926738954662,-0.1094144553290907,-0.13598988162380152,0.17200919564354444,0.08040784196579741,0.22664350355387633,0.005947948239840077,0.09311010897133483,-0.02950087064249629,-0.09837770823560027,0.17917544799579446,-0.11360190530869095,-0.06765652883143644,-0.16953050115451795,-0.28176118321582844,-0.3261287917176637,-0.2723861846544539,-0.1455283432063215,-0.3178494157472578,-0.3625210882741219,-0.23611011339318538,0.1394981384283192,-0.17773432985553567,-0.07552246029173877,-0.06512497024116273,-0.0829401467625417,0.12514708072070832,-0.1367090526722295,-0.2715601221651267,TAK
SH26.1275.Resist,0.20259768913953333,0.027872951599070047,-0.2597492282906927,0.09948136990017067,-0.33759679955523575,3.506680837207701e-4,0.23438592929042576,0.5515654918718033,0.7871102956082678,0.28879189959571355,0.777936073716189,0.6088416103055397,0.7624406234987384,0.8189867944105447,0.5572765308739771,0.6704393396608641,0.7585518858124395,0.5021944560530042,0.6318855445687676,0.8304269947518107,0.10669416303964124,0.6549293372939453,0.10805449553821608,0.05335693467857986,0.3429339996395202,0.18218693374062278,0.15936904551894066,0.2919926411242335,0.5424264032792507,0.49721400087719764,0.36447945920944824,-0.1190818631584797,0.07288477212426671,0.20052941127598764,0.11598853883468568,-0.23669498969284372,-0.40170407679787534,-0.2998869265977532,0.1800213124425375,0.07013047738804808,-0.3183270810783696,-0.13912848296088862,-0.4511622753496072,-0.5027883846893655,-0.09470945592459666,-0.4097668468743275,-0.5186442606787699,-0.6940818548618254,-0.528180939826098,-0.38101395603809296,-0.8551312573699726,-0.6381445428464502,-0.5248441747566418,-0.5373447957103993,-0.185298976163884,-0.42993558862764913,-0.8531229818609254,-0.6060097697349449,-0.4131996832327286,-0.7328423286196412,-0.24483921254878493,-0.02462453870143326,-0.2318004698363694,-0.22505639514249354,-0.4149529867738255,-0.46757169101511087,-0.6102749115713031,0.17379758206433882,Resistance
SH26.1291.Resist,-0.13825549538303933,-0.2957405553717349,-0.49380564797241455,-0.47016722451201987,-0.520685880169794,-0.22955199929269218,-0.3079473651072883,-0.12696932833012678,0.13370922260059911,-0.010421096933791745,0.0595585309770421,-0.03992715620464734,-0.2518370587900529,-0.1069473963743896,0.21477247095966148,-0.1431481956943603,-0.2343435048816562,-0.13096915051245278,-0.19641851232805219,-0.06996153044958131,0.5749990840291315,0.2896196806613694,0.26333322372740425,-0.10306032503155119,-0.028084911559751853,0.1729981256420741,-0.09020247226872392,0.2042309850114005,0.22233295388629118,-0.15254383253839038,-0.10962838203030181,-0.2181518397370362,-0.24713341399692368,-0.17783575682156363,0.12506428862886798,-0.16742011257611394,0.1989915694259348,0.2255127279109443,-0.2601287840179659,-0.6116341281941875,-0.2349084687095579,0.1073124581473979,0.1654053678152921,0.10013953677853159,0.2360520511421579,0.5342503740091452,0.06048544840046496,-0.0015270086583066911,0.5851890190252891,0.13921422078916482,0.20544764291308543,0.18314287526866557,0.004806766848518207,0.22346902623142703,-0.11266313563373714,-0.33961029582298513,0.12231416537525354,0.27528981992402496,0.1871027612391975,-0.020479234013710403,0.17208258435993454,0.48954169332949576,-0.13173050799207536,0.3563386863495625,0.27136549951387506,0.367220584792957,0.39901327075912296,0.21199513963711547,Resistance
SH26.1313.Vehicle,-0.4768334719433606,0.06664289260327091,0.4760264039969048,0.09977080432008106,0.2845580740203509,-0.17432359507650472,0.21635958338276062,-0.34676043106895216,-0.07068882727933867,-0.841341418968123,-0.5387271682079368,-0.5563477303730161,0.18689401697584873,-0.036262782043639294,-0.14442195210345848,-0.127025917262412,0.26307630042281827,0.3565948262926903,-0.12415696553697513,-0.29807865449289633,-0.48781795512311305,-0.422982622407215,-0.8884366919352287,-0.6901889147486124,0.1357589209732784,-0.23687890467796754,-0.12998074843705087,-0.5717158855979135,-0.16353674895674844,-0.4006737262535376,-0.18541465957327685,-0.02872323221742511,0.15894641797761513,0.5194606071290843,0.2938422876940129,0.7287657905411746,0.3543818573331678,0.4244150492200647,0.3647596963163543,0.5166899654863754,0.49763160307848286,-0.7725269887436396,-0.15926049541058546,-0.6375341093144152,-0.720152380757084,-0.47981349957650843,0.45090576938049465,0.29094865467080794,0.10334962984502193,0.3287326317302463,0.22907745349573233,0.5614117221905934,-0.19960310848795607,0.017252591082140247,-0.11024094551866442,0.15920590476393637,-0.2065289826419062,-0.13741212115208506,0.21009854212145787,0.25028628421295784,-0.2656676861355336,-0.10411574004265646,-0.46002063251706093,-0.513163226486004,-0.6712726055721385,-0.4763545851818587,-0.20480993222977137,-0.48766503434755476,Vehicle
